start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
85196445.33102295,85197621.33102295,85196947.33102295,1175.5337867420421,501.1098374819994,674.4239492600427,12.802081
85200376.33102295,85203975.33102295,85202689.33102295,3599.1843297965097,2312.6833278750164,1286.5010019214933,17.785444
85213140.33102295,85217409.33102295,85216143.33102295,4269.380500085321,3002.559801628053,1266.820698457268,7.0834107
85260815.33102295,85261311.33102295,85261054.33102295,495.6048551382992,238.08998768861056,257.5148674496886,10.061421
85264413.33102295,85265250.33102295,85264637.33102295,837.5339950953057,223.62461916462053,613.9093759306852,19.242815
85520471.86376415,85520885.86376415,85520605.86376415,413.9595201074553,133.760067650961,280.1994524564943,27.521109
85769507.98042187,85769876.98042187,85769588.98042187,369.3714812638282,80.90889172108291,288.46258954274526,19.101381
85810504.96102637,85811237.96102637,85810779.96102637,733.0832677338312,274.3473149543406,458.7359527794906,17.663723
86022851.91350977,86023241.91350977,86022937.91350977,389.2171630379453,85.19243967080547,304.0247233671398,10.40422
86027603.91350977,86028837.91350977,86027970.91350977,1233.6732010526248,366.5135435672528,867.159657485372,12.410386
86029214.91350977,86030333.91350977,86029865.91350977,1119.599630031542,650.8407626387379,468.75886739280395,5.8374114
86032481.91350977,86035765.91350977,86034840.91350977,3283.9207333811537,2358.124632016632,925.7961013645217,12.164306
86037537.91350977,86038243.91350977,86037759.91350977,705.926250188335,221.61761517615014,484.3086350121848,6.9173355
86041033.91350977,86041396.91350977,86041170.91350977,363.4709950643628,136.85508921390647,226.61590585045633,10.722155
86041568.91350977,86042334.91350977,86042114.91350977,765.6040125392537,545.1087835941726,220.49522894508118,9.648514
86050453.91350977,86050582.91350977,86050495.91350977,128.43181800530147,41.345624404195405,87.08619360110606,8.407046
86050805.91350977,86051581.91350977,86051027.91350977,776.265323153224,221.42182382929605,554.843499323928,10.391057
88306408.08875048,88307166.08875048,88306528.08875048,758.3419783970994,119.59689762495236,638.745080772147,11.574151
88306728.08875048,88306906.08875048,88306855.08875048,178.69054399664037,126.92939480309178,51.76114919354859,6.135048
